X,Y,Z,X1,Y1,Z1
0.0007405000000000001,-0.0037225,6e-05,0.0007405000000000001,-0.0037225,4.49e-05
0.00185475,-0.00331125,6e-05,0.00185475,-0.00331125,4.49e-05
0.00278775,-0.00257575,6e-05,0.00278775,-0.00257575,4.49e-05
0.003447,-0.00158825,6e-05,0.003447,-0.00158825,4.49e-05
0.0037689999999999998,-0.00044550000000000004,6e-05,0.0037689999999999998,-0.00044550000000000004,4.49e-05
0.00372225,0.00074075,6e-05,0.00372225,0.00074075,4.49e-05
0.00331125,0.00185475,6e-05,0.00331125,0.00185475,4.49e-05
0.002576,0.00278675,6e-05,0.002576,0.00278675,4.49e-05
0.0015890000000000001,0.003447,6e-05,0.0015890000000000001,0.003447,4.49e-05
0.000446,0.0037689999999999998,6e-05,0.000446,0.0037689999999999998,4.49e-05
-0.00074075,0.00372225,6e-05,-0.00074075,0.00372225,4.49e-05
-0.00185475,0.00331125,6e-05,-0.00185475,0.00331125,4.49e-05
-0.00278675,0.00257625,6e-05,-0.00278675,0.00257625,4.49e-05
-0.00344675,0.00158875,6e-05,-0.00344675,0.00158875,4.49e-05
-0.0037689999999999998,0.00044625,6e-05,-0.0037689999999999998,0.00044625,4.49e-05
-0.0037225,-0.00074,6e-05,-0.0037225,-0.00074,4.49e-05
-0.00331175,-0.0018540000000000002,6e-05,-0.00331175,-0.0018540000000000002,4.49e-05
-0.002577,-0.00278675,6e-05,-0.002577,-0.00278675,4.49e-05
-0.0015899999999999998,-0.00344625,6e-05,-0.0015899999999999998,-0.00344625,4.49e-05
-0.00044649999999999996,-0.001864,0.0059275,-0.00044649999999999996,-0.001864,0.0059124
0.00074025,0.0037225,0.02353,0.00074025,0.0037225,0.0235149
0.00185475,0.00331125,0.02353,0.00185475,0.00331125,0.0235149
0.00278775,0.002576,0.02353,0.00278775,0.002576,0.0235149
0.003447,0.001588,0.02353,0.003447,0.001588,0.0235149
0.0037689999999999998,0.00044475,0.02353,0.0037689999999999998,0.00044475,0.0235149
0.003722,-0.0007412499999999999,0.02353,0.003722,-0.0007412499999999999,0.0235149
0.003311,-0.0018549999999999999,0.02353,0.003311,-0.0018549999999999999,0.0235149
0.00257625,-0.00278675,0.02353,0.00257625,-0.00278675,0.0235149
0.00158925,-0.0034465,0.02353,0.00158925,-0.0034465,0.0235149
0.000446,-0.0037689999999999998,0.02353,0.000446,-0.0037689999999999998,0.0235149
-0.0007405000000000001,-0.0037225,0.02353,-0.0007405000000000001,-0.0037225,0.0235149
-0.00185475,-0.00331125,0.02353,-0.00185475,-0.00331125,0.0235149
-0.00278725,-0.002576,0.02353,-0.00278725,-0.002576,0.0235149
-0.003447,-0.00158825,0.02353,-0.003447,-0.00158825,0.0235149
-0.0037689999999999998,-0.00044500000000000003,0.02353,-0.0037689999999999998,-0.00044500000000000003,0.0235149
-0.00372225,0.00074075,0.02353,-0.00372225,0.00074075,0.0235149
-0.00331125,0.00185475,0.02353,-0.00331125,0.00185475,0.0235149
-0.00257625,0.002787,0.02353,-0.00257625,0.002787,0.0235149
-0.00158925,0.0034465,0.02353,-0.00158925,0.0034465,0.0235149
-0.0004085,0.00186475,0.01772725,-0.0004085,0.00186475,0.01771215
0.0008864999999999999,-0.0036905,0.00031925,0.0008864999999999999,-0.0036905,0.00030415
0.0019835,-0.0032355,0.0003195,0.0019835,-0.0032355,0.0003044
0.0028865,-0.002464,0.00032,0.0028865,-0.002464,0.0003049
0.00350675,-0.0014515,0.00032,0.00350675,-0.0014515,0.0003049
0.00378375,-0.000297,0.00032,0.00378375,-0.000297,0.0003049
0.0036905,0.00088675,0.00032,0.0036905,0.00088675,0.0003049
0.00323575,0.0019835,0.00032,0.00323575,0.0019835,0.0003049
0.00246425,0.0028865,0.00032,0.00246425,0.0028865,0.0003049
0.0014515,0.00350675,0.00032,0.0014515,0.00350675,0.0003049
0.0002965,0.00378375,0.00032,0.0002965,0.00378375,0.0003049
-0.00088725,0.00369025,0.00032,-0.00088725,0.00369025,0.0003049
-0.00198425,0.0032352500000000003,0.00032,-0.00198425,0.0032352500000000003,0.0003049
-0.002887,0.002464,0.00032,-0.002887,0.002464,0.0003049
-0.003507,0.001451,0.00032,-0.003507,0.001451,0.0003049
-0.00378375,0.00029625,0.00032,-0.00378375,0.00029625,0.0003049
-0.00369025,-0.000887,0.00032,-0.00369025,-0.000887,0.0003049
-0.0032355,-0.00198425,0.00032,-0.0032355,-0.00198425,0.0003049
-0.00246425,-0.0028865,0.000319,-0.00246425,-0.0028865,0.0003039
-0.001452,-0.00350675,0.000319,-0.001452,-0.00350675,0.0003039
-0.00029725,-0.00188025,0.006057,-0.00029725,-0.00188025,0.0060419
0.00088675,0.0036905,0.02327075,0.00088675,0.0036905,0.02325565
0.001984,0.0032355,0.0232705,0.001984,0.0032355,0.0232554
0.002887,0.002464,0.02327,0.002887,0.002464,0.0232549
0.003507,0.001451,0.02327,0.003507,0.001451,0.0232549
0.00378375,0.00029625,0.02327,0.00378375,0.00029625,0.0232549
0.00369025,-0.00088725,0.02327,0.00369025,-0.00088725,0.0232549
0.00323575,-0.001984,0.02327,0.00323575,-0.001984,0.0232549
0.00246425,-0.00288625,0.02327,0.00246425,-0.00288625,0.0232549
0.0014515,-0.00350675,0.02327,0.0014515,-0.00350675,0.0232549
0.0002965,-0.00378375,0.02327,0.0002965,-0.00378375,0.0232549
-0.00088725,-0.00369025,0.02327,-0.00088725,-0.00369025,0.0232549
-0.00198425,-0.003235,0.02327,-0.00198425,-0.003235,0.0232549
-0.002887,-0.0024635,0.02327,-0.002887,-0.0024635,0.0232549
-0.00350725,-0.00145025,0.02327,-0.00350725,-0.00145025,0.0232549
-0.00378375,-0.00029525,0.02327,-0.00378375,-0.00029525,0.0232549
-0.00368975,0.0008882499999999999,0.02327,-0.00368975,0.0008882499999999999,0.0232549
-0.003235,0.0019845,0.02327,-0.003235,0.0019845,0.0232549
-0.00246325,0.00288725,0.023271,-0.00246325,0.00288725,0.0232559
-0.00145125,0.003507,0.023271,-0.00145125,0.003507,0.0232559
-0.0002595,0.0018825,0.017598,-0.0002595,0.0018825,0.0175829
0.0015902499999999999,-0.003446,0.000579,0.0015902499999999999,-0.003446,0.0005639
0.002577,-0.0027860000000000003,0.000579,0.002577,-0.0027860000000000003,0.0005639
0.00331175,-0.0018535000000000001,0.000579,0.00331175,-0.0018535000000000001,0.0005639
0.0037225,-0.00073925,0.000579,0.0037225,-0.00073925,0.0005639
0.00376875,0.00044725,0.000579,0.00376875,0.00044725,0.0005639
0.003446,0.0015902499999999999,0.000579,0.003446,0.0015902499999999999,0.0005639
0.00278575,0.0025775,0.000579,0.00278575,0.0025775,0.0005639
0.00185275,0.00331225,0.000579,0.00185275,0.00331225,0.0005639
0.00073875,0.0037225,0.000579,0.00073875,0.0037225,0.0005639
-0.00044824999999999997,0.00376875,0.000579,-0.00044824999999999997,0.00376875,0.0005639
-0.00159125,0.00344575,0.000579,-0.00159125,0.00344575,0.0005639
-0.00257825,0.002785,0.000579,-0.00257825,0.002785,0.0005639
-0.0033127499999999997,0.00185175,0.000579,-0.0033127499999999997,0.00185175,0.0005639
-0.00372275,0.00073775,0.000579,-0.00372275,0.00073775,0.0005639
-0.00376875,-0.000449,0.000579,-0.00376875,-0.000449,0.0005639
-0.0034454999999999998,-0.0015915,0.000579,-0.0034454999999999998,-0.0015915,0.0005639
-0.002785,-0.0025785,0.000579,-0.002785,-0.0025785,0.0005639
