X,Y,Z,X1,Y1,Z1
0.0009710750000000001,-0.0048664,2.3249999999999998e-06,0.000971375,-0.004867649999999999,6.465e-05
0.0024259249999999998,-0.004329525,2.35e-06,0.0024267250000000002,-0.00433065,6.4675e-05
0.003643275,-0.0033745,2.3249999999999998e-06,0.003644375,-0.00337525,6.47e-05
0.0045056,-0.0020781000000000003,2.175e-06,0.004507025,-0.0020785499999999998,6.4725e-05
0.00493225,-0.00058265,2.35e-06,0.00493385,-0.000582725,6.4975e-05
0.004870475,0.0009653999999999999,2.3e-06,0.004872,0.0009658749999999999,6.495e-05
0.004328175,0.0024327000000000003,2.3249999999999998e-06,0.004329525000000001,0.002433625,6.4925e-05
0.0033686,0.003639525,2.4500000000000003e-06,0.00336965,0.0036408,6.51e-05
0.0020815,0.0045121499999999995,2.4e-06,0.002082225,0.004513675,6.5075e-05
0.000584975,0.00492495,2.375e-06,0.000585175,0.004926675,6.505e-05
-0.0009746500000000001,0.004869725,2.4e-06,-0.0009749000000000001,0.00487135,6.5e-05
-0.002435175,0.0043291,2.35e-06,-0.0024359,0.004330625,6.492499999999999e-05
-0.003644575,0.0033699999999999997,2.475e-06,-0.0036457250000000003,0.00337125,6.505e-05
-0.00450295,0.00207345,2.2750000000000002e-06,-0.004504325,0.0020743,6.4775e-05
-0.00493595,0.000583825,2.225e-06,-0.0049374,0.00058415,6.46e-05
-0.004872125,-0.0009679,2.25e-06,-0.0048736,-0.000968025,6.465e-05
-0.004337,-0.00242435,2.2e-06,-0.004338375,-0.002424925,6.46e-05
-0.0033729,-0.00364245,2.25e-06,-0.0033738500000000003,-0.00364335,6.4525e-05
-0.002083275,-0.0045093,2.25e-06,-0.002083825,-0.004510425,6.4525e-05
-0.0005826,-0.002737175,0.005165025,-0.00058265,-0.00273815,0.005218425
0.0007401,0.003721475,0.0206537,0.00074035,0.0037216000000000003,0.02068035
0.0018544500000000001,0.0033103250000000002,0.0206537,0.0018547249999999998,0.003310425,0.02068035
0.00278735,0.00257515,0.02065375,0.0027876,0.00257525,0.020680325
0.0034465249999999998,0.001587275,0.020653650000000003,0.003446825,0.001587375,0.020680225
0.0037685,0.00044415000000000004,0.0206536,0.0037688,0.0004442,0.020680175
0.0037215,-0.000741725,0.020653475,0.0037218250000000002,-0.000741725,0.020680125
0.0033105499999999998,-0.0018553250000000001,0.0206534,0.0033108499999999997,-0.0018553250000000001,0.02068005
0.0025759249999999997,-0.00278695,0.020653275,0.0025762,-0.002787,0.020679975
0.0015890000000000001,-0.00344665,0.020653175,0.00158925,-0.00344665,0.020679925000000002
0.000445875,-0.003769175,0.020653075,0.000446125,-0.003769175,0.020679875
-0.000740475,-0.00372265,0.020653025000000002,-0.00074025,-0.00372265,0.020679875
-0.001854575,-0.003311425,0.020653075,-0.0018543750000000001,-0.00331145,0.0206799
-0.002787,-0.002576325,0.020652975,-0.002786775,-0.0025763,0.0206799
-0.003446675,-0.00158865,0.02065305,-0.0034465,-0.00158865,0.020679975
-0.0037686,-0.000445525,0.0206532,-0.00376845,-0.000445525,0.02068005
-0.0037219,0.000740075,0.020653225,-0.003721725,0.00074015,0.020680075
-0.00331095,0.001853975,0.020653325,-0.003310775,0.001854025,0.0206802
-0.002576,0.002786125,0.02065345,-0.00257585,0.0027862,0.020680225
-0.0015891,0.00344555,0.020653575,-0.001588925,0.003445675,0.0206803
-0.000394,0.0015713250000000002,0.015536850000000001,-0.000393825,0.0015711750000000002,0.015572424999999999
0.0011639,-0.00482415,0.00018805,0.00116425,-0.004825275,0.00025035
0.00259375,-0.004233499999999999,0.000192025,0.002594475,-0.004234475,0.00025435000000000003
0.0037750249999999996,-0.0032317,0.00019095,0.0037760500000000004,-0.00323235,0.000253325
0.00458875,-0.001898425,0.0001861,0.0045901250000000005,-0.0018987750000000001,0.00024865
0.0049514,-0.000388975,0.000188975,0.004952875,-0.00038895,0.00025164999999999996
0.00483215,0.0011588500000000001,0.000191375,0.004833525,0.0011593250000000001,0.000254025
0.004232175,0.0025994,0.00019345,0.0042334,0.0026003,0.0002561
0.003223775,0.0037750250000000004,0.0001897,0.003224725,0.003776225,0.00025235000000000004
0.001904975,0.004585725,0.000185675,0.00190555,0.0045872,0.000248325
0.000390575,0.004952825,0.00018899999999999999,0.000390725,0.004954425,0.00025167500000000003
-0.0011676500000000001,0.004830124999999999,0.000189675,-0.00116795,0.0048316750000000006,0.00025225
-0.002605875,0.004234725,0.000190225,-0.00260655,0.004236075,0.000252825
-0.0037790000000000002,0.0032268,0.000192875,-0.003780075,0.0032279,0.00025545
-0.004588875,0.00189285,0.000189125,-0.00459015,0.001893525,0.0002516
-0.00495435,0.000390775,0.00018825,-0.004955675,0.00039102500000000003,0.000250675
-0.00482875,-0.00116255,0.000185425,-0.00483015,-0.0011627249999999999,0.000247825
-0.004236125,-0.00259375,0.000188875,-0.004237325,-0.00259435,0.0002513
-0.003228275,-0.0037771000000000002,0.0001858,-0.003229125,-0.0037779750000000003,0.000248075
-0.001903175,-0.004590825,0.0001871,-0.001903625,-0.0045918999999999995,0.000249325
-0.00039417499999999997,-0.002754125,0.0052333250000000005,-0.000394175,-0.0027549750000000002,0.005286725
0.0008865749999999999,0.003689525,0.02039445,0.00088685,0.0036896999999999998,0.020421099999999998
0.0019837500000000003,0.003234625,0.020394225000000002,0.001983975,0.003234725,0.0204208
0.0028866,0.0024632,0.020393725,0.0028869,0.0024633,0.0204203
0.0035065,0.001450275,0.02039365,0.0035069,0.0014503749999999998,0.020420225
0.00378325,0.000295675,0.02039355,0.0037836,0.000295725,0.020420175
0.003689775,-0.0008877,0.020393474999999998,0.003690125,-0.000887675,0.020420075
0.003235325,-0.001984325,0.020393349999999998,0.003235675,-0.001984325,0.020420025
0.00246395,-0.00288645,0.02039325,0.00246425,-0.002886525,0.02042
0.0014512750000000001,-0.0035069,0.02039315,0.001451575,-0.00350695,0.02041995
0.000296425,-0.00378385,0.020393050000000003,0.000296675,-0.003783975,0.02041985
-0.0008872,-0.0036903500000000002,0.020393,-0.000886975,-0.00369045,0.0204199
-0.001984075,-0.0032352,0.020393050000000003,-0.0019839,-0.003235275,0.020419875
-0.0028867,-0.002463825,0.020393,-0.0028866,-0.0024638,0.020419925000000002
-0.003506925,-0.001450675,0.020393025000000002,-0.003506775,-0.001450625,0.02042
-0.00378335,-0.00029577499999999997,0.020393175,-0.00378325,-0.000295725,0.020420050000000002
-0.003689375,0.000887575,0.02039325,-0.0036892749999999997,0.00088765,0.020420075
-0.003234725,0.0019837,0.020393349999999998,-0.003234575,0.001983825,0.0204202
-0.002463025,0.00288635,0.020394475,-0.0024629,0.002886475,0.020421275
-0.0014511250000000002,0.003506025,0.020394549999999997,-0.001450975,0.0035062,0.0204213
-0.000237775,0.0015945500000000001,0.015390975,-0.00023760000000000003,0.001594425,0.015426575
0.002077475,-0.0044863,0.000371525,0.002078025,-0.004487275,0.000433825
0.003355625,-0.003628075,0.000372675,0.0033565,-0.003628825,0.000434975
0.00430725,-0.002416475,0.000366,0.00430835,-0.0024168749999999998,0.0004284
0.004848725,-0.000962775,0.00037275000000000003,0.00485005,-0.000962875,0.00043535
