X,Y,Z,X1,Y1,Z1
0.0003481,-0.0044317,0.0,0.0003593,-0.0045731,0.0
0.0006955,-0.0043778,0.0,0.0007165,-0.0045154,0.0
0.0010371,-0.0043151,0.0,0.0010709,-0.0044513,0.0
0.0013743,-0.0042214,0.0,0.0014194,-0.0043546,0.0
0.0017002,-0.0041086,0.0,0.0017557,-0.0042391,0.0
0.0020113,-0.0039524,0.0,0.0020746,-0.0040761,0.0
0.002319,-0.0037856,0.0,0.0023923,-0.0039049,0.0
0.0026112,-0.0035901,0.0,0.0026937,-0.0037022,0.0
0.0028815,-0.0033756,0.0,0.0029711,-0.0034814,0.0
0.0031456,-0.00314,0.0,0.003245,-0.00324,0.0
0.0033761,-0.0028907,0.0,0.0034825,-0.0029843,0.0
0.0035916,-0.0026116,0.0,0.0037048,-0.0026945,0.0
0.0037837,-0.0023216,0.0,0.0039019,-0.0023965,0.0
0.0039555,-0.0020148,0.0,0.0040796,-0.0020793,0.0
0.0041058,-0.0016952,0.0,0.0042362,-0.0017489,0.0
0.0042233,-0.0013719,0.0,0.0043569,-0.0014146,0.0
0.0043224,-0.0010349,0.0,0.0044597,-0.0010676,0.0
0.0043804,-0.0006933,0.0,0.004518,-0.0007149,0.0
0.0044333,-0.0003518,0.0,0.0045745,-0.0003636,0.0
0.0044391,-2e-07,0.0,0.0045783,3e-07,0.0
0.0044282,0.0003502,0.0,0.004568,0.0003616,0.0
0.004383,0.0006892,0.0,0.0045199,0.0007104,0.0
0.0043207,0.0010324,0.0,0.0044587,0.0010639,0.0
0.0042278,0.0013747,0.0,0.0043619,0.0014178,0.0
0.0041053,0.0017048,0.0,0.0042351,0.0017593,0.0
0.0039566,0.0020224,0.0,0.0040803,0.0020874,0.0
0.0037887,0.0023198,0.0,0.0039084,0.0023934,0.0
0.0035897,0.0026081,0.0,0.0037029,0.0026897,0.0
0.0033781,0.0028792,0.0,0.0034848,0.0029694,0.0
0.0031359,0.0031384,0.0,0.0032344,0.0032379,0.0
0.0028849,0.0033755,0.0,0.0029763,0.0034821,0.0
0.0026081,0.0035911,0.0,0.0026901,0.0037035,0.0
0.0023168,0.0037871,0.0,0.0023889,0.0039059,0.0
0.0020138,0.0039612,0.0,0.0020778,0.0040869,0.0
0.0016992,0.0041083,0.0,0.0017543,0.0042388,0.0
0.0013811,0.0042241,0.0,0.001428,0.0043566,0.0
0.0010379,0.0043106,0.0,0.0010724,0.0044455,0.0
0.0006969,0.004384,0.0,0.0007194,0.0045217,0.0
0.0003502,0.0044245,0.0,0.0003613,0.0045641,0.0
-1e-06,0.0044445,0.0,-1e-06,0.0045865,0.0
-0.0003468,0.0044242,0.0,-0.0003583,0.0045633,0.0
-0.0006974,0.0043815,0.0,-0.0007224,0.0045182,0.0
-0.0010409,0.0043322,0.0,-0.0010755,0.0044712,0.0
-0.0013753,0.0042242,0.0,-0.001418,0.0043568,0.0
-0.0017037,0.0041041,0.0,-0.0017576,0.0042341,0.0
-0.0020178,0.0039595,0.0,-0.0020818,0.0040843,0.0
-0.0023252,0.0037827,0.0,-0.0024001,0.0039016,0.0
-0.0026163,0.0035907,0.0,-0.0027004,0.0037037,0.0
-0.0028877,0.0033747,0.0,-0.0029799,0.0034815,0.0
-0.003139,0.0031425,0.0,-0.0032381,0.0032417,0.0
-0.0033755,0.0028849,0.0,-0.0034809,0.0029764,0.0
-0.0035889,0.0026079,0.0,-0.0037012,0.0026893,0.0
-0.0037847,0.0023224,0.0,-0.0039046,0.0023962,0.0
-0.0039559,0.0020101,0.0,-0.0040806,0.0020722,0.0
-0.0041003,0.0016958,0.0,-0.0042294,0.0017482,0.0
-0.0042166,0.0013692,0.0,-0.0043497,0.0014115,0.0
-0.0043276,0.0010347,0.0,-0.0044657,0.0010666,0.0
-0.0043821,0.0006967,0.0,-0.0045196,0.0007191,0.0
-0.0044254,0.0003457,0.0,-0.004565,0.0003565,0.0
-0.004449,9e-07,0.0,-0.0045902,1.8e-06,0.0
-0.0044269,-0.0003453,0.0,-0.0045675,-0.0003559,0.0
-0.0043945,-0.0006932,0.0,-0.0045329,-0.0007161,0.0
-0.0043182,-0.0010392,0.0,-0.0044542,-0.0010734,0.0
-0.0042269,-0.001375,0.0,-0.004361,-0.0014179,0.0
-0.0040982,-0.0016992,0.0,-0.0042276,-0.0017532,0.0
-0.0039604,-0.0020137,0.0,-0.0040859,-0.0020773,0.0
-0.0037832,-0.0023157,0.0,-0.0039029,-0.0023881,0.0
-0.0036048,-0.002611,0.0,-0.0037217,-0.0026941,0.0
-0.0033779,-0.0028792,0.0,-0.0034857,-0.0029693,0.0
-0.0031417,-0.003137,0.0,-0.0032412,-0.0032352,0.0
-0.0028833,-0.0033778,0.0,-0.0029744,-0.0034843,0.0
-0.0026153,-0.0035943,0.0,-0.0026986,-0.0037081,0.0
-0.0023234,-0.0037909,0.0,-0.0023975,-0.0039112,0.0
-0.0020203,-0.0039562,0.0,-0.0020848,-0.0040803,0.0
-0.0017017,-0.004104,0.0,-0.0017556,-0.0042336,0.0
-0.0013735,-0.0042245,0.0,-0.0014172,-0.0043578,0.0
-0.0010396,-0.0043238,0.0,-0.0010735,-0.0044618,0.0
-0.0006954,-0.0043927,0.0,-0.0007171,-0.0045326,0.0
-0.000341,-0.0044298,0.0,-0.0003499,-0.0045705,0.0
0.0,0.0038087,0.0222038,-0.0,0.0038101,0.0217193
0.0002989,0.0037968,0.0222038,0.0002989,0.0037982,0.0217193
0.0005958,0.0037619,0.0222037,0.0005959,0.0037632,0.0217194
0.0008887,0.0037039,0.0222037,0.000889,0.0037052,0.0217194
0.0011767,0.0036229,0.0222036,0.001177,0.0036242,0.0217194
0.0014576,0.0035188,0.0222037,0.001458,0.0035201,0.0217193
