X,Y,Z,X1,Y1,Z1
0.0003,-0.0038074,1.8e-05,0.0003001,-0.0038079,7.47e-05
0.0005977,-0.0037723,1.8e-05,0.0005978,-0.0037728,7.47e-05
0.0008924,-0.0037142,1.8e-05,0.0008926,-0.0037147,7.46e-05
0.0011801,-0.003633,1.8e-05,0.0011803,-0.0036335,7.47e-05
0.0014618,-0.0035287,1.8e-05,0.001462,-0.0035291,7.47e-05
0.0017345,-0.0034034,1.8e-05,0.0017347,-0.0034038,7.46e-05
0.0019961,-0.003256,1.8e-05,0.0019963,-0.0032564,7.47e-05
0.0022457,-0.0030896,1.8e-05,0.0022459,-0.00309,7.47e-05
0.0024812,-0.0029041,1.8e-05,0.0024815,-0.0029045,7.47e-05
0.0027017,-0.0026997,1.8e-05,0.0027021,-0.0027,7.47e-05
0.0029052,-0.0024802,1.8e-05,0.0029056,-0.0024805,7.47e-05
0.0030907,-0.0022446,1.8e-05,0.003091,-0.0022449,7.46e-05
0.0032571,-0.001995,1.8e-05,0.0032575,-0.0019952,7.47e-05
0.0034034,-0.0017334,1.79e-05,0.0034039,-0.0017336,7.47e-05
0.0035288,-0.0014607,1.8e-05,0.0035292,-0.0014609,7.46e-05
0.003633,-0.00118,1.8e-05,0.0036334,-0.0011802,7.47e-05
0.0037143,-0.0008913,1.8e-05,0.0037147,-0.0008914,7.47e-05
0.0037723,-0.0005966,1.8e-05,0.0037727,-0.0005967,7.47e-05
0.0038074,-0.000299,1.8e-05,0.0038079,-0.0002989,7.46e-05
0.0038194,-3e-07,1.8e-05,0.0038199,-2e-07,7.46e-05
0.0038075,0.0002994,1.8e-05,0.0038079,0.0002995,7.46e-05
0.0037724,0.0005972,1.8e-05,0.0037729,0.0005973,7.46e-05
0.0037143,0.0008918,1.8e-05,0.0037148,0.0008921,7.47e-05
0.0036321,0.0011806,1.8e-05,0.0036325,0.0011808,7.47e-05
0.0035289,0.0014613,1.8e-05,0.0035293,0.0014615,7.47e-05
0.0034035,0.001734,1.79e-05,0.003404,0.0017342,7.47e-05
0.0032562,0.0019957,1.79e-05,0.0032566,0.0019959,7.46e-05
0.0030898,0.0022453,1.79e-05,0.0030902,0.0022456,7.46e-05
0.0029044,0.0024799,1.79e-05,0.0029047,0.0024802,7.47e-05
0.0027008,0.0027004,1.79e-05,0.0027012,0.0027008,7.47e-05
0.0024803,0.002904,1.79e-05,0.0024806,0.0029044,7.47e-05
0.0022447,0.0030894,1.79e-05,0.002245,0.0030898,7.46e-05
0.0019961,0.0032569,1.79e-05,0.0019964,0.0032572,7.46e-05
0.0017345,0.0034032,1.79e-05,0.0017348,0.0034036,7.46e-05
0.0014618,0.0035285,1.79e-05,0.0014621,0.003529,7.47e-05
0.0011801,0.0036328,1.79e-05,0.0011804,0.0036333,7.46e-05
0.0008914,0.003714,1.79e-05,0.0008916,0.0037144,7.45e-05
0.0005977,0.0037722,1.79e-05,0.0005978,0.0037726,7.45e-05
0.0002999,0.0038073,1.8e-05,0.0003,0.0038077,7.45e-05
2e-07,0.0038193,1.8e-05,2e-07,0.0038198,7.46e-05
-0.0002995,0.0038073,1.8e-05,-0.0002996,0.0038078,7.46e-05
-0.0005972,0.0037722,1.8e-05,-0.0005973,0.0037726,7.45e-05
-0.000892,0.0037142,1.79e-05,-0.0008921,0.0037146,7.46e-05
-0.0011808,0.0036319,1.79e-05,-0.0011809,0.0036324,7.46e-05
-0.0014615,0.0035287,1.79e-05,-0.0014616,0.0035292,7.46e-05
-0.0017341,0.0034033,1.79e-05,-0.0017344,0.0034038,7.46e-05
-0.0019958,0.003256,1.79e-05,-0.001996,0.0032564,7.46e-05
-0.0022455,0.0030896,1.8e-05,-0.0022457,0.0030899,7.46e-05
-0.00248,0.0029041,1.8e-05,-0.0024804,0.0029045,7.46e-05
-0.0027006,0.0027006,1.79e-05,-0.002701,0.0027009,7.47e-05
-0.0029041,0.00248,1.79e-05,-0.0029045,0.0024804,7.47e-05
-0.0030896,0.0022454,1.8e-05,-0.0030899,0.0022457,7.47e-05
-0.003257,0.0019959,1.8e-05,-0.0032574,0.001996,7.46e-05
-0.0034033,0.0017332,1.79e-05,-0.0034038,0.0017333,7.47e-05
-0.0035287,0.0014615,1.8e-05,-0.0035291,0.0014617,7.47e-05
-0.0036319,0.0011798,1.8e-05,-0.0036324,0.00118,7.47e-05
-0.0037141,0.0008921,1.8e-05,-0.0037146,0.0008922,7.46e-05
-0.0037723,0.0005974,1.8e-05,-0.0037727,0.0005974,7.46e-05
-0.0038073,0.0002996,1.8e-05,-0.0038077,0.0002996,7.46e-05
-0.0038194,-2e-07,1.8e-05,-0.0038198,-2e-07,7.47e-05
-0.0038073,-0.0002989,1.8e-05,-0.0038078,-0.000299,7.46e-05
-0.0037722,-0.0005977,1.79e-05,-0.0037727,-0.0005978,7.46e-05
-0.003714,-0.0008915,1.79e-05,-0.0037145,-0.0008916,7.46e-05
-0.0036328,-0.0011802,1.79e-05,-0.0036333,-0.0011803,7.47e-05
-0.0035286,-0.0014619,1.8e-05,-0.0035291,-0.001462,7.47e-05
-0.0034033,-0.0017335,1.79e-05,-0.0034037,-0.0017337,7.47e-05
